order,group_key,group_title,validation_status,expected_rows,actual_rows,directory,main_xlsx_file,cards_xlsx_file
1,ok,ok,ok,2885,2885,output/splits/01_ok,output/splits/01_ok/fitbase_active_clients_import_zayavki_20260429__01_ok.xlsx,output/splits/01_ok/fitbase_active_clients_plastic_cards_20260429__01_ok.xlsx
2,tolko_neskolko_kart,только несколько карт,multiple_plastic_cards;,7201,7201,output/splits/02_tolko_neskolko_kart,output/splits/02_tolko_neskolko_kart/fitbase_active_clients_import_zayavki_20260429__02_tolko_neskolko_kart.xlsx,output/splits/02_tolko_neskolko_kart/fitbase_active_clients_plastic_cards_20260429__02_tolko_neskolko_kart.xlsx
3,neskolko_abonementov_i_neskolko_kart,несколько абонементов + несколько карт,multiple_active_subscriptions;multiple_plastic_cards;,366,366,output/splits/03_neskolko_abonementov_i_neskolko_kart,output/splits/03_neskolko_abonementov_i_neskolko_kart/fitbase_active_clients_import_zayavki_20260429__03_neskolko_abonementov_i_neskolko_kart.xlsx,output/splits/03_neskolko_abonementov_i_neskolko_kart/fitbase_active_clients_plastic_cards_20260429__03_neskolko_abonementov_i_neskolko_kart.xlsx
4,tolko_net_karty,только нет карты,missing_plastic_card;,228,228,output/splits/04_tolko_net_karty,output/splits/04_tolko_net_karty/fitbase_active_clients_import_zayavki_20260429__04_tolko_net_karty.xlsx,output/splits/04_tolko_net_karty/fitbase_active_clients_plastic_cards_20260429__04_tolko_net_karty.xlsx
5,tolko_neskolko_abonementov,только несколько абонементов,multiple_active_subscriptions;,92,92,output/splits/05_tolko_neskolko_abonementov,output/splits/05_tolko_neskolko_abonementov/fitbase_active_clients_import_zayavki_20260429__05_tolko_neskolko_abonementov.xlsx,output/splits/05_tolko_neskolko_abonementov/fitbase_active_clients_plastic_cards_20260429__05_tolko_neskolko_abonementov.xlsx
6,neskolko_abonementov_i_net_karty,несколько абонементов + нет карты,multiple_active_subscriptions;missing_plastic_card;,13,13,output/splits/06_neskolko_abonementov_i_net_karty,output/splits/06_neskolko_abonementov_i_net_karty/fitbase_active_clients_import_zayavki_20260429__06_neskolko_abonementov_i_net_karty.xlsx,output/splits/06_neskolko_abonementov_i_net_karty/fitbase_active_clients_plastic_cards_20260429__06_neskolko_abonementov_i_net_karty.xlsx
7,tolko_net_telefona,только нет телефона,missing_phone;,6,6,output/splits/07_tolko_net_telefona,output/splits/07_tolko_net_telefona/fitbase_active_clients_import_zayavki_20260429__07_tolko_net_telefona.xlsx,output/splits/07_tolko_net_telefona/fitbase_active_clients_plastic_cards_20260429__07_tolko_net_telefona.xlsx
8,net_telefona_i_neskolko_kart,нет телефона + несколько карт,missing_phone;multiple_plastic_cards;,3,3,output/splits/08_net_telefona_i_neskolko_kart,output/splits/08_net_telefona_i_neskolko_kart/fitbase_active_clients_import_zayavki_20260429__08_net_telefona_i_neskolko_kart.xlsx,output/splits/08_net_telefona_i_neskolko_kart/fitbase_active_clients_plastic_cards_20260429__08_net_telefona_i_neskolko_kart.xlsx
9,net_telefona_i_net_karty,нет телефона + нет карты,missing_phone;missing_plastic_card;,2,2,output/splits/09_net_telefona_i_net_karty,output/splits/09_net_telefona_i_net_karty/fitbase_active_clients_import_zayavki_20260429__09_net_telefona_i_net_karty.xlsx,output/splits/09_net_telefona_i_net_karty/fitbase_active_clients_plastic_cards_20260429__09_net_telefona_i_net_karty.xlsx
