key,title,old_rows,new_rows,row_delta,old_clients,new_clients,client_delta,common_keys,added_keys,removed_keys,changed_common_keys,unchanged_common_keys,suspicious_changed_keys,old_duplicate_keys,new_duplicate_keys,top_changed_fields,top_reason_flags
import_zayavki,Импорт заявок,64934,65231,297,64934,65231,297,64773,458,161,7480,57293,0,0,0,"manager:6042, funnel:1570, funnel_step:1570, филиал:529, create_date:363, phone:90, client_fio:85","stage_export_source_changed:7480, selected_subscription_changed:1354, owner_change_client:1234, selected_subscription_sale_after_2026-05-23:646, same_subscription_crossed_cutoff_window:484, export_date_field_changed:363, client_created_after_2026-05-23:59, new_export_date_after_2026-05-23:59"
plastic_cards,Пластиковые карты,10890,10907,17,,,,10099,808,791,285,9814,0,0,0,номер пластиковой карты:285,"selected_card_changed_in_stage:285, selected_subscription_changed:191, owner_change_client:56"
membership_clients,Абонементы клиентов,99383,98944,-439,43137,43080,-57,98875,69,508,11154,87721,0,0,0,"manager:7749, card:2351, freeze:550, end_date:508, create_date:479, contract_name:331, phone:273, amount_of_payments:168","membership_source_export_fields_changed:11154, client_or_card_fields_changed:9720, new_export_date_after_2026-05-23:1564, export_date_field_changed:976, owner_change_membership:772, money_fields_changed:170"
membership_templates,Шаблоны абонементов,114,114,0,,,,112,2,2,7,105,0,0,0,"freeze:4, duration:2, price:1",template_business_values_changed:7
service_clients,Услуги клиентов,529,528,-1,472,472,0,510,18,19,59,451,0,0,0,"manager:58, phone:1",service_client_fields_changed:59
service_templates,Шаблоны услуг,51,51,0,,,,51,0,0,1,50,0,0,0,duration:1,template_business_values_changed:1
