kind,url,name,source_price,live_prices
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=333,Абонемент УЛЬТРА 12+2 месяца в подарок,11990,[11.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=334,Абонемент УЛЬТРА 12+2 месяца в подарок (Ровио),13990,[13.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=335,Абонемент УЛЬТРА 12+6 месяцев,14991,[14.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=337,Абонемент Ультра 15 месяцев (подарок),12990,[12.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=338,Абонемент УЛЬТРА 15 месяцев (рассрочка),12990,[12.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=340,Абонемент УЛЬТРА 24 месяца,23000,[23.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=341,Абонемент УЛЬТРА 3 месяца,8000,[8.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=342,Абонемент УЛЬТРА 6 месяцев СПЕЦПРЕДЛОЖЕНИЕ,7000,[7.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=343,Абонемент УЛЬТРА 6+6 месяцев,13991,[13.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=344,Абонемент УЛЬТРА 9 месяцев,14990,[14.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=345,Абонемент УЛЬТРА 9 месяцев (3 месяца заморозки в подарок),13990,[13.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=346,Абонемент УЛЬТРА 9 месяцев (3 месяца заморозки в подарок) Ровио,12990,[12.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=347,Абонемент УЛЬТРА 9 месяцев (6 месяцев в подарок),15990,[0.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=348,Абонемент УЛЬТРА 9 месяцев СПЕЦПРЕДЛОЖЕНИЕ,9900,[9.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=349,Абонемент УЛЬТРА 9 месяцев+3 месяца в подарок (Ровио),12990,[12.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=352,"Студенческий абонемент 4 месяца 6 900,00",6900,[6.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=353,Студенческий дневной абонемент 9 месяцев,8900,[8.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=355,СУБАРЕНДА 10 посещений,13000,[13.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=356,СУБАРЕНДА 12 посещений,20000,[20.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=357,СУБАРЕНДА 15 посещений,20000,[22.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=358,СУБАРЕНДА 20 посещений,22500,[22.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=359,СУБАРЕНДА 8 посещений,15000,[15.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=360,СУБАРЕНДА безлимит,28000,[28.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=361,СУБАРЕНДА безлимит неделя Савостьянова Ксения,3000,[3.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=362,СУБАРЕНДА безлимит Савостьянова Ксения,10000,[10.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=363,УЛЬТРА 12 месяцев + 2 месяца заморозки в подарок (Ровио),14990,[14.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=364,УЛЬТРА 12 месяцев + подарок,11990,[11.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=365,УЛЬТРА 6 месяцев + 3 месяца в подарок,14990,[14.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=366,УЛЬТРА 9 месяцев (подарок),10990,[14.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=367,"Холодные 13 900,00 МУЛЬТИ 24 месяца",13900,[13.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=368,"Холодные 9 900,00 УЛЬТРА 12 месяцев",9900,[9.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=64,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,12990,[0.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=67,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ+подарок,0,[11990.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=82,Абонемент УЛЬТРА 9 месяцев (6 месяцев в подарок),15990,[0.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=100,СУБАРЕНДА 15 посещений,20000,[22000.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=109,УЛЬТРА 9 месяцев (подарок),10990,[14990.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=401,Абонемент МУЛЬТИКАРТА 12 месяцев (рассрочка),14990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=402,Абонемент МУЛЬТИКАРТА 12 месяцев (Спецпредложение) рассрочка,10990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=403,Абонемент МУЛЬТИКАРТА 15 месяцев спецпредложение (рассрочка),10990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=404,Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (рассрочка),11990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=405,УЛЬТРА 12 месяцев (рассрочка),11990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=406,Абонемент 2 недели бесплатно,0,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=407,Абонемент УЛЬТРА 2 МЕСЯЦА БЕЗЛИМИТ,0,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=414,УЛЬТРА 12 месяцев (рассрочка),11990,[1.0]
