source,length_bucket,clients,clients_with_phone_match_in_other_source
csv,00_unknown,0,0
sql,00_unknown,0,0
csv,01_up_to_2_weeks,0,0
sql,01_up_to_2_weeks,6,0
csv,02_1_month,83,75
sql,02_1_month,84,79
csv,03_2_months,12,4
sql,03_2_months,5,5
csv,04_3_months,22,19
sql,04_3_months,22,19
csv,05_4_5_months,11,11
sql,05_4_5_months,14,14
csv,06_6_months,18,16
sql,06_6_months,24,13
csv,07_9_months,19,17
sql,07_9_months,34,16
csv,08_12_months,3098,2918
sql,08_12_months,3640,3304
csv,09_13_15_months,3034,2885
sql,09_13_15_months,2986,2882
csv,10_16_18_months,1189,1154
sql,10_16_18_months,1124,1083
csv,11_19_24_months,616,579
sql,11_19_24_months,557,502
csv,12_24_plus_months,449,423
sql,12_24_plus_months,206,184
