source,length_bucket,clients,clients_with_phone_match_in_other_source
csv,00_unknown,0,0
sql,00_unknown,0,0
csv,01_up_to_2_weeks,27,27
sql,01_up_to_2_weeks,31,31
csv,02_1_month,208,204
sql,02_1_month,235,228
csv,03_2_months,7,7
sql,03_2_months,7,6
csv,04_3_months,42,39
sql,04_3_months,65,56
csv,05_4_5_months,5,4
sql,05_4_5_months,30,27
csv,06_6_months,6,6
sql,06_6_months,36,23
csv,07_9_months,95,92
sql,07_9_months,119,104
csv,08_12_months,4673,4392
sql,08_12_months,5083,4764
csv,09_13_15_months,3030,2804
sql,09_13_15_months,2867,2699
csv,10_16_18_months,776,729
sql,10_16_18_months,561,512
csv,11_19_24_months,410,383
sql,11_19_24_months,467,421
csv,12_24_plus_months,275,257
sql,12_24_plus_months,74,66
