source,length_bucket,clients,clients_with_phone_match_in_other_source
csv,00_unknown,0,0
sql,00_unknown,0,0
csv,01_up_to_2_weeks,3,3
sql,01_up_to_2_weeks,8,4
csv,02_1_month,68,62
sql,02_1_month,73,69
csv,03_2_months,14,3
sql,03_2_months,0,0
csv,04_3_months,30,28
sql,04_3_months,35,32
csv,05_4_5_months,15,15
sql,05_4_5_months,12,12
csv,06_6_months,18,18
sql,06_6_months,20,17
csv,07_9_months,56,53
sql,07_9_months,68,54
csv,08_12_months,3068,3028
sql,08_12_months,3559,3333
csv,09_13_15_months,3031,2942
sql,09_13_15_months,2992,2935
csv,10_16_18_months,1039,1022
sql,10_16_18_months,915,900
csv,11_19_24_months,250,238
sql,11_19_24_months,105,100
csv,12_24_plus_months,181,173
sql,12_24_plus_months,142,128
