metric,value
snapshot_date,2022-12-31
csv_active_rows,8073
csv_active_unique_clients,7773
csv_active_unique_phones,7725
sql_active_unique_clients,7929
sql_active_unique_phones,8740
sql_active_duration_30_plus_clients,7919
sql_active_in_target_segment_clients,3015
sql_active_in_chk_kk_segment_clients,3326
csv_clients_with_sql_phone_match,7585
sql_clients_with_csv_phone_match,7584
csv_clients_with_sql_phone_and_name_match,7538
sql_clients_with_csv_phone_and_name_match,7538
sql_minus_csv_unique_clients,156
