"schema_name","table_name","approx_rows","column_count"
"dbo","_BPr325",368,23
"dbo","_Reference99",364,49
"dbo","_InfoRg2812",361,32
"dbo","_InfoRg2991",317,3
"dbo","_InfoRg2176",298,9
"dbo","ConfigCAS",290,7
"dbo","_Reference72_VT4121",267,10
"dbo","_Document160",259,18
"dbo","_InfoRg7126",258,4
"dbo","_Reference104",251,14
"dbo","_Reference6124",245,17
"dbo","_Reference6124_VT7618",225,6
"dbo","_Document159_VT1330",220,8
"dbo","_Reference60_VT3779",219,7
"dbo","_Document159",208,18
"dbo","_Document130_VT488",207,15
"dbo","_InfoRg2838",203,4
"dbo","_Document136",198,12
"dbo","_InfoRg6888",182,17
"dbo","_Reference29_VT8049",176,13
"dbo","_Reference90",176,9
"dbo","_Reference57",175,10
"dbo","_AccumRgTn3281",174,7
"dbo","_Document162_VT1405",173,39
"dbo","_Document131_VT578",171,12
"dbo","_InfoRg2170",168,4
"dbo","_Reference50",153,15
"dbo","_Document154_VT1181",149,16
"dbo","_Enum210",146,2
"dbo","_Document138_VT776",139,8
"dbo","_InfoRg2393",130,5
"dbo","_AccumRgT3335",125,11
"dbo","_InfoRg2823",121,4
"dbo","_AccumRg3326",119,15
"dbo","_AccRgAT34725",116,23
"dbo","v8users",107,11
"dbo","_Chrc321",99,14
"dbo","_Reference72_VT4113",93,7
"dbo","_InfoRg2044",92,24
"dbo","_Reference95",92,39
"dbo","_Document139",90,18
"dbo","_Reference80",90,28
"dbo","_InfoRg2967",86,8
"dbo","_Reference25",80,13
"dbo","_Chrc4927",74,10
"dbo","_InfoRg7298",69,9
"dbo","_InternalSettings",69,11
"dbo","_Reference9229_VT9388",68,12
"dbo","_Reference9229_VT9398",68,5
"dbo","_Reference99_VT4446",68,18
"dbo","Files",66,7
"dbo","_InfoRg2219",63,12
"dbo","_Enum5069",61,2
"dbo","_Reference5061_VT8275",61,38
"dbo","_Reference95_VT4381",61,8
"dbo","_Enum189",57,2
"dbo","_InfoRg7036",57,5
"dbo","_Reference91",56,14
"dbo","_Reference9229_VT9372",54,20
"dbo","_Enum169",52,2
"dbo","_Enum274",52,2
"dbo","_Reference41_VT3588",49,8
"dbo","_Reference92",49,18
"dbo","_Chrc322",48,13
"dbo","_Reference101",45,11
"dbo","_Reference29_VT3447",44,7
"dbo","_Reference42",44,13
"dbo","_Enum278",43,2
"dbo","_Reference5061",43,60
"dbo","_InfoRg6704",42,8
"dbo","_Reference105_VT4514",40,8
"dbo","_Reference37",40,30
"dbo","_AccumRgAggDims",39,3
"dbo","_AccumRgT3297",39,9
"dbo","_Document6140_VT6320",39,6
"dbo","_Reference89",39,13
"dbo","_AccumRgT3304",38,7
"dbo","_Document6140_VT6324",37,25
"dbo","_Acc22_ExtDim4708",36,8
"dbo","_Reference88",36,9
"dbo","_InfoRg2093",34,5
"dbo","_Reference122",34,22
"dbo","_Document162",33,12
"dbo","_Reference95_VT5478",33,6
"dbo","_InfoRg10432",32,14
"dbo","_Reference60",31,32
"dbo","_Enum6149",29,2
"dbo","_Reference105_VT4494",29,5
"dbo","_Reference58",29,7
"dbo","_Reference108_VT4538",28,7
"dbo","_Reference49_VT3698",28,5
"dbo","_Reference9228_VT9359",28,5
"dbo","Params",28,7
"dbo","_Acc22",27,12
"dbo","_Enum220",27,2
"dbo","_InfoRg6963",27,3
"dbo","_BPrPoints334",26,2
"dbo","_Document143_VT889",26,5
"dbo","_Reference121_VT4684",26,8
"dbo","_Reference5059",26,7
"dbo","_Enum6141",25,2
"dbo","_Reference29_VT3450",25,7
"dbo","_Chrc323",24,10
"dbo","_Enum8342",24,2
"dbo","_Reference108",24,15
"dbo","_Reference83",24,30
"dbo","_Enum8897",23,2
"dbo","_Enum8349",22,2
"dbo","_Reference24",22,16
"dbo","_Reference125",21,26
"dbo","_Reference93",21,14
"dbo","_Document6140",20,44
"dbo","_DocumentJournal6357",20,12
"dbo","_InfoRg6748",20,3
"dbo","_Reference44",20,18
"dbo","_Reference5061_VT8299",20,15
"dbo","_Enum231",19,2
"dbo","_Reference103",19,10
"dbo","_Reference53",19,21
"dbo","_Reference60_VT8854",19,6
"dbo","_BPr329",18,35
"dbo","_Node9069_VT9105",18,5
"dbo","_Reference5062",18,10
"dbo","_Reference6134_VT7752",18,5
"dbo","_BPrPoints332",17,2
"dbo","_Reference48",17,8
"dbo","_Reference6112",17,13
"dbo","_AccumRg7425",16,13
"dbo","_BPrPoints330",16,2
"dbo","_Reference68",16,8
"dbo","_InfoRg2640",15,4
"dbo","_Reference102",15,12
"dbo","_Reference118_VT4632",15,5
"dbo","_Reference8341",15,11
"dbo","_BPrPoints328",14,2
"dbo","_Enum277",14,2
"dbo","_Enum299",14,2
"dbo","_Enum313",14,2
"dbo","_Enum4925",14,2
"dbo","_Enum6177",14,2
"dbo","_Enum223",13,2
"dbo","_Enum296",13,2
"dbo","_InfoRg9729",13,31
"dbo","_Reference49",13,24
"dbo","_Chrc320",12,8
"dbo","_Enum6159",12,2
"dbo","_Reference118_VT4635",12,8
"dbo","_Reference49_VT3687",12,12
"dbo","_Enum201",11,2
"dbo","_Enum286",11,2
"dbo","_Reference26",11,16
"dbo","_Reference41_VT6093",11,6
"dbo","_Reference64_VT3844",11,12
"dbo","_Reference87",11,11
"dbo","_Reference9461",11,8
"dbo","_Reference96",11,12
"dbo","_Enum192",10,2
"dbo","_Enum283",10,2
"dbo","_Enum290",10,2
"dbo","_Enum315",10,2
"dbo","_Enum5066",10,2
"dbo","_Enum9071",10,2
"dbo","_InfoRg10141",10,9
"dbo","_Reference105_VT4497",10,18
"dbo","_Reference36",10,8
"dbo","_Reference69_VT3957",10,16
"dbo","_Enum216",9,2
"dbo","_Enum219",9,2
"dbo","_Enum6145",9,2
"dbo","_Enum6160",9,2
"dbo","_Enum9073",9,2
"dbo","_Reference118",9,10
"dbo","_Reference34",9,10
"dbo","_Chrc6179",8,23
"dbo","_Enum190",8,2
"dbo","_Enum206",8,2
"dbo","_Enum212",8,2
"dbo","_Enum236",8,2
"dbo","_Enum268",8,2
"dbo","_Enum5070",8,2
"dbo","_Enum5833",8,2
"dbo","_Enum5834",8,2
"dbo","_Enum6167",8,2
"dbo","_Enum6173",8,2
"dbo","_Enum9074",8,2
"dbo","_Enum9462",8,2
"dbo","_FrmDtSettings",8,11
"dbo","_InfoRg9762",8,9
"dbo","_Reference5058",8,7
"dbo","_Reference69",8,12
"dbo","_BPrPoints326",7,2
"dbo","_Enum181",7,2
"dbo","_Enum182",7,2
"dbo","_Enum186",7,2
"dbo","_Enum198",7,2
"dbo","_Enum204",7,2
"dbo","_Enum221",7,2
"dbo","_Enum295",7,2
"dbo","_Enum5073",7,2
"dbo","_Enum5832",7,2
"dbo","_Enum6148",7,2
"dbo","_Enum8345",7,2
"dbo","_Enum9072",7,2
"dbo","_InfoRg5859",7,7
"dbo","_Reference105",7,44
"dbo","_Reference121",7,15
"dbo","_Reference41",7,40
"dbo","_Reference6110",7,15
"dbo","_Enum167",6,2
"dbo","_Enum188",6,2
"dbo","_Enum207",6,2
"dbo","_Enum228",6,2
"dbo","_Enum239",6,2
"dbo","_Enum242",6,2
"dbo","_Enum245",6,2
"dbo","_Enum257",6,2
"dbo","_Enum258",6,2
"dbo","_Enum262",6,2
"dbo","_Enum289",6,2
"dbo","_Enum301",6,2
"dbo","_Enum305",6,2
"dbo","_Enum307",6,2
"dbo","_Enum317",6,2
"dbo","_Enum6155",6,2
"dbo","_Enum6166",6,2
"dbo","_Enum6168",6,2
"dbo","_Enum6170",6,2
"dbo","_Enum9070",6,2
"dbo","_ExtensionsInfo",6,12
"dbo","_InfoRg2526",6,10
"dbo","_InfoRg2670",6,5
"dbo","_InfoRg7072",6,2
"dbo","_Node20",6,11
"dbo","_Reference46_VT3635",6,8
"dbo","_SeqB3372",6,6
"dbo","_Document165",5,37
"dbo","_Document165_VT1595",5,10
"dbo","_DocumentJournal1632",5,23
"dbo","_Enum175",5,2
"dbo","_Enum180",5,2
"dbo","_Enum199",5,2
"dbo","_Enum214",5,2
"dbo","_Enum215",5,2
"dbo","_Enum226",5,2
"dbo","_Enum244",5,2
"dbo","_Enum264",5,2
"dbo","_Enum271",5,2
"dbo","_Enum273",5,2
"dbo","_Enum284",5,2
"dbo","_Enum292",5,2
"dbo","_Enum312",5,2
"dbo","_Enum314",5,2
"dbo","_Enum4926",5,2
"dbo","_Enum5074",5,2
"dbo","_Enum6157",5,2
"dbo","_Enum6158",5,2
"dbo","_Enum6169",5,2
"dbo","_Enum6172",5,2
"dbo","_Enum8344",5,2
"dbo","_Enum9546",5,2
"dbo","_Enum9547",5,2
"dbo","_Reference100",5,8
"dbo","_Reference32",5,7
"dbo","_Reference6126",5,12
"dbo","_Reference62",5,9
"dbo","_Reference64_VT3871",5,5
"dbo","_Reference9227",5,8
"dbo","_Reference9228",5,8
"dbo","_Reference95_VT4393",5,7
"dbo","_Document6140_VT6341",4,12
"dbo","_Enum10285",4,2
"dbo","_Enum166",4,2
"dbo","_Enum173",4,2
"dbo","_Enum176",4,2
"dbo","_Enum178",4,2
"dbo","_Enum194",4,2
"dbo","_Enum197",4,2
"dbo","_Enum208",4,2
"dbo","_Enum217",4,2
"dbo","_Enum224",4,2
"dbo","_Enum232",4,2
"dbo","_Enum237",4,2
"dbo","_Enum238",4,2
"dbo","_Enum247",4,2
"dbo","_Enum248",4,2
"dbo","_Enum254",4,2
"dbo","_Enum255",4,2
"dbo","_Enum256",4,2
"dbo","_Enum266",4,2
"dbo","_Enum269",4,2
"dbo","_Enum280",4,2
"dbo","_Enum285",4,2
"dbo","_Enum293",4,2
"dbo","_Enum294",4,2
"dbo","_Enum297",4,2
"dbo","_Enum300",4,2
"dbo","_Enum302",4,2
"dbo","_Enum304",4,2
"dbo","_Enum308",4,2
"dbo","_Enum310",4,2
"dbo","_Enum5067",4,2
"dbo","_Enum5835",4,2
"dbo","_Enum6043",4,2
"dbo","_Enum6143",4,2
"dbo","_Enum6147",4,2
"dbo","_Enum6153",4,2
"dbo","_Enum6165",4,2
"dbo","_Enum6171",4,2
"dbo","_Enum6178",4,2
