source,length_bucket,product_name,clients
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),110
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев (подарок),88
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев (2 месяца в подарок),78
csv,09_13_15_months,Абонемент УЛЬТРА 12 месяцев (акция 2 мес. в подарок),73
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца в подарок,69
csv,09_13_15_months,Абонемент УЛЬТРА 15 месяцев + 3 месяца заморозки в подарок,47
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев (3 месяца заморозки в подарок),29
csv,09_13_15_months,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (вип),27
csv,10_16_18_months,Абонемент МУЛЬТИКАРТА 15 месяцев (3 месяца заморозки в подарок),216
csv,10_16_18_months,Абонемент УЛЬТРА 12 месяцев (акция 6 мес. в подарок),110
csv,10_16_18_months,Абонемент МУЛЬТИКАРТА 12 месяцев,98
csv,10_16_18_months,Абонемент УЛЬТРА 12 месяцев,89
csv,10_16_18_months,Абонемент МУЛЬТИКАРТА+6 месяцев в подарок,55
csv,10_16_18_months,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,33
csv,10_16_18_months,Абонемент МУЛЬТИКАРТА 12 месяцев + подарок,23
csv,10_16_18_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,18
csv,10_16_18_months,Абонемент УЛЬТРА 15 месяцев + 3 месяца заморозки в подарок,18
csv,10_16_18_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца заморозки в подарок СПЕЦПРЕДЛОЖЕНИЕ,17
csv,10_16_18_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),17
