metric,value
snapshot_date,2025-08-31
csv_active_rows,9752
csv_active_unique_clients,8885
csv_active_unique_phones,8845
sql_active_unique_clients,8923
sql_active_unique_phones,9758
sql_active_duration_30_plus_clients,8899
sql_active_in_target_segment_clients,6353
sql_active_in_chk_kk_segment_clients,7043
csv_clients_with_sql_phone_match,8244
sql_clients_with_csv_phone_match,8236
csv_clients_with_sql_phone_and_name_match,8177
sql_clients_with_csv_phone_and_name_match,8177
sql_minus_csv_unique_clients,38
