source,length_bucket,product_name,clients
csv,01_up_to_2_weeks,Абонемент 2 недели Фитнес,20
csv,01_up_to_2_weeks,Абонемент Неделя Фитнес,1
csv,02_1_month,Абонемент УЛЬТРА 1 МЕСЯЦ БЕЗЛИМИТ,86
csv,02_1_month,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,2
csv,03_2_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),3
csv,03_2_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,2
csv,03_2_months,Абонемент МУЛЬТИКАРТА 12 месяцев (2 месяца в подарок),1
csv,03_2_months,Абонемент УЛЬТРА 1 МЕСЯЦ БЕЗЛИМИТ,1
csv,03_2_months,Абонемент УЛЬТРА 12 месяцев (акция 2 мес. в подарок),1
csv,03_2_months,УЛЬТРА 12 месяцев + 2 месяца заморозки в подарок,1
csv,04_3_months,Абонемент УЛЬТРА 3 месяца,12
csv,04_3_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,3
csv,04_3_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца в подарок,3
csv,04_3_months,Абонемент МУЛЬТИКАРТА 15 месяцев (3 месяца заморозки в подарок),2
csv,04_3_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),2
csv,04_3_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),1
csv,04_3_months,"Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок) Ровио,3",1
csv,04_3_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца заморозки в подарок СПЕЦПРЕДЛОЖЕНИЕ,1
csv,05_4_5_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),5
csv,05_4_5_months,"Студенческий абонемент 4 месяца 6 900,00",3
csv,05_4_5_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),1
csv,05_4_5_months,Абонемент УЛЬТРА 12 месяцев + 3 месяца заморозки в подарок,1
csv,05_4_5_months,Абонемент УЛЬТРА 12+2 месяца в подарок,1
csv,05_4_5_months,Абонемент МУЛЬТИКАРТА 12 месяцев (подарок),1
csv,05_4_5_months,Абонемент УЛЬТРА 12 месяцев + 3 месяца заморозки в подарок (Ровио),1
csv,05_4_5_months,МУЛЬТИКАРТА 9 месяцев + 3 месяца в подарок,1
csv,05_4_5_months,Абонемент УЛЬТРА 12 месяцев (акция 6 мес. в подарок),1
csv,06_6_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),4
csv,06_6_months,Абонемент УЛЬТРА 12+2 месяца в подарок,3
csv,06_6_months,Абонемент УЛЬТРА 12 месяцев (акция 2 мес. в подарок),2
csv,06_6_months,"Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок) Ровио,3",2
csv,06_6_months,Абонемент МУЛЬТИКАРТА 15 месяцев (3 месяца заморозки в подарок),2
csv,06_6_months,Абонемент МУЛЬТИКАРТА 12 месяцев,1
csv,06_6_months,Абонемент УЛЬТРА 12 месяцев + 3 месяца заморозки в подарок,1
csv,06_6_months,Абонемент МУЛЬТИКАРТА 12 месяцев (подарок),1
csv,06_6_months,"Абонемент УЛЬТРА 12 месяцев (акция 6 мес. в подарок) Ровио,3",1
csv,07_9_months,Абонемент УЛЬТРА 9 месяцев,24
csv,07_9_months,Абонемент УЛЬТРА 9 месяцев (3 месяца заморозки в подарок),22
csv,07_9_months,Абонемент УЛЬТРА 12+2 месяца в подарок,19
csv,07_9_months,Абонемент УЛЬТРА 12 месяцев,9
csv,07_9_months,Абонемент УЛЬТРА 9 месяцев (3 месяца заморозки в подарок) Ровио,7
csv,07_9_months,Мультикарта на 9 месяцев,4
csv,07_9_months,Мультикарта на 6 месяцев,3
csv,07_9_months,Абонемент МУЛЬТИКАРТА 12 месяцев,3
csv,07_9_months,Мультикарта на 9 месяцев + 3 месяца заморозки в подарок,3
csv,07_9_months,Абонемент УЛЬТРА 12 месяцев (акция 6 мес. в подарок),2
csv,07_9_months,Студенческий дневной абонемент 9 месяцев,2
csv,07_9_months,Абонемент УЛЬТРА 12 месяцев (акция 2 мес. в подарок),1
csv,07_9_months,Абонемент МУЛЬТИКАРТА+6 месяцев в подарок,1
csv,08_12_months,Абонемент УЛЬТРА 12 месяцев,665
csv,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев,650
csv,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,522
csv,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),471
csv,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца заморозки в подарок СПЕЦПРЕДЛОЖЕНИЕ,249
csv,08_12_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),137
csv,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев (3 месяца заморозки в подарок),104
csv,08_12_months,УЛЬТРА 9 месяцев + 3 месяца в подарок,101
csv,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца в подарок,98
csv,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев (2 месяца в подарок),82
csv,08_12_months,УЛЬТРА 12 месяцев + 2 месяца заморозки в подарок,78
csv,08_12_months,Абонемент УЛЬТРА 9 месяцев,68
csv,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев (подарок),63
csv,08_12_months,МУЛЬТИКАРТА 9 месяцев + 3 месяца в подарок,62
csv,08_12_months,Абонемент УЛЬТРА 12 месяцев + 3 месяца заморозки в подарок,54
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев,1011
csv,09_13_15_months,Абонемент УЛЬТРА 12 месяцев,621
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 15 месяцев (3 месяца заморозки в подарок),397
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца заморозки в подарок СПЕЦПРЕДЛОЖЕНИЕ,169
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,169
csv,09_13_15_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),114
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),107
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев (подарок),89
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев (2 месяца в подарок),78
csv,09_13_15_months,Абонемент УЛЬТРА 12 месяцев (акция 2 мес. в подарок),73
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца в подарок,68
csv,09_13_15_months,Абонемент УЛЬТРА 15 месяцев + 3 месяца заморозки в подарок,47
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев (3 месяца заморозки в подарок),29
csv,09_13_15_months,Абонемент УЛЬТРА 15 месяцев,20
csv,09_13_15_months,УЛЬТРА 9 месяцев + 3 месяца в подарок,16
csv,10_16_18_months,Абонемент МУЛЬТИКАРТА 15 месяцев (3 месяца заморозки в подарок),216
csv,10_16_18_months,Абонемент УЛЬТРА 12 месяцев,155
csv,10_16_18_months,Абонемент МУЛЬТИКАРТА 12 месяцев,123
csv,10_16_18_months,Абонемент УЛЬТРА 12 месяцев (акция 6 мес. в подарок),110
csv,10_16_18_months,Абонемент МУЛЬТИКАРТА+6 месяцев в подарок,93
csv,10_16_18_months,Абонемент УЛЬТРА 12+6 месяцев,36
csv,10_16_18_months,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,33
csv,10_16_18_months,Абонемент УЛЬТРА 12 + 2 лета в подарок,19
csv,10_16_18_months,Абонемент УЛЬТРА 15 месяцев + 3 месяца заморозки в подарок,18
