source,length_bucket,clients,clients_with_phone_match_in_other_source
csv,00_unknown,0,0
sql,00_unknown,0,0
csv,01_up_to_2_weeks,5,5
sql,01_up_to_2_weeks,6,6
csv,02_1_month,135,127
sql,02_1_month,157,147
csv,03_2_months,29,17
sql,03_2_months,8,6
csv,04_3_months,34,31
sql,04_3_months,49,35
csv,05_4_5_months,84,81
sql,05_4_5_months,81,77
csv,06_6_months,23,21
sql,06_6_months,32,20
csv,07_9_months,145,134
sql,07_9_months,151,131
csv,08_12_months,3193,2950
sql,08_12_months,3820,3507
csv,09_13_15_months,2192,1840
sql,09_13_15_months,1712,1602
csv,10_16_18_months,633,525
sql,10_16_18_months,364,321
csv,11_19_24_months,687,618
sql,11_19_24_months,873,783
csv,12_24_plus_months,515,478
sql,12_24_plus_months,205,186
