source_table,source_code,source_name,normalized_club,manager_policy,note
dbo._Reference105,000000001,Фитнес Империя (Гоголевский),"Коммунальная, 20",configured_managers,user confirmed 2026-05-20
dbo._Reference105,000000004,Фитнес Империя (Столица),"Лососинское шоссе, 26",configured_managers,user confirmed 2026-05-20
dbo._Reference105,000000002,Фитнес Империя (Промышленная),"Промышленная, 10",configured_managers,user confirmed 2026-05-20
dbo._Reference105,000000003,Фитнес Империя (Карельский),Карельский (закрыт),fallback_pending_manager_mapping,closed club; user will decide manager mapping locally
dbo._Reference105,000000007,"Фитнес Империя (Ровио,3)","Ровио, 3",configured_managers,user confirmed 2026-05-20
