document_number,client_id,subscription_ref,sale_datetime,start_date,end_date,is_active_on_cutoff,is_finished_before_cutoff,sql_funnel
00000124855,000021722,88F51A5D154B35F0479EB2BAF51B080C,2024-07-24 00:00:00,2024-07-24,2026-09-21,0,1,Реактивация
00000125855,000025218,8B22D49AD061AEBD4F7321C620673290,2024-08-31 00:00:00,2024-08-31,2026-09-21,0,1,Реактивация
00000130057,000027784,BDF6FE231D072AE140142AFC7C0125C4,2024-12-28 00:00:00,2025-06-24,2026-09-21,0,1,Реактивация
00000130960,000067047,A081AC71C63E1DF74AF283ACD5D3A6E7,2025-01-22 00:00:00,2025-01-22,2026-09-21,0,1,Реактивация
00000133207,000022054,A8F35F1E1961B3D74E3508CA1CE21AAD,2025-03-21 13:13:52,2025-03-22,2026-09-21,0,1,Реактивация
00000133227,000010956,AC11597968CB85D948DCFDA802E3504D,2025-03-21 16:49:01,2025-03-22,2026-09-21,0,1,Действующие клиенты
00000133403,000050457,9753E0A1BB721E5D4B1B646F01FCFB5B,2025-03-26 00:00:00,2025-03-26,2026-09-21,0,1,Реактивация
00000133415,000057748,B22579613E7580604B251252AD0AA09F,2025-03-26 00:00:00,2025-03-26,2026-09-21,0,1,Реактивация
00000132211,000019681,B2A55C4C24B7C57342617B1CCF2B35CA,2025-02-24 19:32:31,2025-03-26,2026-09-22,1,0,Действующие клиенты
00000133178,000063175,906E29E6B4F9C25448734869C0E44363,2025-03-20 16:38:05,2025-03-23,2026-09-22,1,0,Действующие клиенты
00000134537,000063620,A844AFE010628F674287D905DF1F6AB6,2025-04-22 13:22:16,2025-06-23,2026-09-22,1,0,Действующие клиенты
00000134833,000063726,991A16AFC0C95D2D42B2773C8BCD4964,2025-05-03 13:09:45,2025-06-23,2026-09-22,1,0,Действующие клиенты
00000135776,000008658,A9C8608D765C5EF2496037FC50A96412,2025-05-30 00:00:00,2025-05-30,2026-09-22,1,0,Действующие клиенты
00000136620,000069028,96560AF91E5AFA2241844F91AEC5D1CA,2025-06-20 11:07:35,2025-06-23,2026-09-22,1,0,Действующие клиенты
00000136693,000068218,840187FD7A8E2C5C4BDDF17182886898,2025-06-23 00:00:00,2025-06-23,2026-09-22,1,0,Действующие клиенты
00000136695,000069065,8DF9FDA625968D184C000E8630246418,2025-06-23 00:00:00,2025-06-23,2026-09-22,1,0,Действующие клиенты
