url,clubs,live_name,source_name,source_cell,source_price,source_number_format,source_xml_value,live_prices,classification,match_basis,catalog_active_purchases,catalog_total_purchases
https://fitnes-imperiya.fitbase.io/services/update?id=101,,Пакет 10 (персональные тренировки),Пакет 10 (персональные тренировки),B22,6000,General,6000,6000.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=102,,Пакет 10 ВИП (персональные тренировки),Пакет 10 ВИП (персональные тренировки),B23,0,General,0,0.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=103,,Пакет 12 (персональные тренировки),Пакет 12 (персональные тренировки),B24,6000,General,6000,6000.0,equal,exact_name,8,55
https://fitnes-imperiya.fitbase.io/services/update?id=104,,Пакет 12 ВИП (персональные тренировки),Пакет 12 ВИП (персональные тренировки),B25,9500,General,9500,9500.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=105,,Пакет 4 (персональные тренировки),Пакет 4 (персональные тренировки),B26,0,General,0,0.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=106,,Пакет 8,Пакет 8,B27,5000,General,5000,5000.0,equal,exact_name,0,12
https://fitnes-imperiya.fitbase.io/services/update?id=107,,Пакет 8 ВИП,Пакет 8 ВИП,B28,8700,General,8700,8700.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=108,,Пробная П/Т,Пробная П/Т,B29,270,General,270,270.0,equal,exact_name,0,2
https://fitnes-imperiya.fitbase.io/services/update?id=109,,Разовая,Разовая,B30,1200,General,1200,1200.0,equal,exact_name,0,3
https://fitnes-imperiya.fitbase.io/services/update?id=110,,Разовая ВИП,Разовая ВИП,B31,1300,General,1300,1300.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=111,,Субаренда 1 посещение,Субаренда 1 посещение,B32,2000,General,2000,2000.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=112,,Разовое посещение,Разовое посещение,B38,800,General,800,800.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=113,,Медленный класс (10 посещений) двойное предложение,Медленный класс (10 посещений) двойное предложение,B39,13000,General,13000,13000.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=114,,Пакет 6,Пакет 6,B40,6700,General,6700,6700.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=115,,Солярий 1 минута,Солярий 1 минута,B41,30,General,30,30.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=116,,Солярий 5 минут,Солярий 5 минут,B44,150,General,150,150.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=117,,Step-1 разовое посещение при наличии клубной карты,Step-1 разовое посещение при наличии клубной карты,B48,300,General,300,300.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=118,,Йога (персональная тренировка) VIP,Йога (персональная тренировка) VIP,B49,1200,General,1200,1200.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=119,,Персональная тренировка VIP,Персональная тренировка VIP,B52,1000,General,1000,1000.0,equal,exact_name,0,5
