product_ref,product_code,product_name,product_name_norm,observed_clients,observed_sale_rows,observed_subscription_rows,min_duration_days,max_duration_days,avg_duration_days,is_full_subscription_candidate,is_trial_or_guest_candidate,product_class,classification_reason,needs_manual_review
AAE1A4BF01266AD411EAD260BBD73CB8,00000000318,АБОНЕМЕНТ ДЖАМПИНГ 12 пос,абонемент джампинг 12 пос,6,6,6,43,61,55.166666,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AA9EA4BF01266AD311E8D82589232D86,00000000110,Абонемент УЛЬТРА 12+2 месяца в подарок,абонемент ультра 12+2 месяца в подарок,590,665,665,1,6843,545.545864,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AA9EA4BF01266AD311E8D82589232D6C,00000000089,Абонемент УЛЬТРА 1 МЕСЯЦ 8 посещений,абонемент ультра 1 месяц 8 посещений,568,772,772,2,6843,42.326424,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AA9EA4BF01266AD311E8D82589232D6D,00000000090,Абонемент УЛЬТРА 1 МЕСЯЦ БЕЗЛИМИТ,абонемент ультра 1 месяц безлимит,5433,8289,8289,1,8795,36.003739,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AA9EA4BF01266AD311E8D82589232D6B,00000000088,Абонемент УЛЬТРА 1 МЕСЯЦ 12 посещений,абонемент ультра 1 месяц 12 посещений,534,695,695,7,501,33.633093,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
B105000C29D830FD11F087275A01BCD1,00000001653,Студенческий дневной абонемент 9 месяцев (посещение клуба до 17:00),студенческий дневной абонемент 9 месяцев (посещение клуба до 17:00),51,51,51,17,299,266.450980,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
B069000C29D830FD11F0152F03951542,00000001594,Абонемент МУЛЬТИКАРТА 12 месяцев (подарок),абонемент мультикарта 12 месяцев (подарок),507,520,520,1,8916,448.334615,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AFA0000C29D830FD11EF7CC5E212F861,00000001456,АБОНЕМЕНТ САЙКЛ 12 пос без клубной карты,абонемент сайкл 12 пос без клубной карты,5,20,20,57,365,200.950000,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
B15C000C29D830FD11F0C76FC84AC76D,00000001685,Абонемент МУЛЬТИКАРТА 12 месяцев + подарок,абонемент мультикарта 12 месяцев + подарок,474,483,483,1,9152,482.238095,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
B146000C29D830FD11F0B65F43E97E57,00000001679,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (вип),абонемент ультра 12 месяцев спецпредложение (вип),458,468,468,1,455,355.705128,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AD36A4BF01266AD411EDC1A048E41F15,00000000963,Мультикарта на 6 месяцев,мультикарта на 6 месяцев,43,51,51,149,752,254.921568,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
B069000C29D830FD11F0152F48EC1111,00000001595,"Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок) Ровио,3","абонемент ультра 12 месяцев (акция 3 мес. в подарок) ровио,3",41,42,42,79,9006,595.023809,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AD48A4BF01266AD411EDCFC483BF75AC,00000000992,Мультикарта на 1 месяц,мультикарта на 1 месяц,4,4,4,30,31,30.250000,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
B0E5000C29D830FD11F06EA6F8544521,00000001646,УЛЬТРА 12 месяцев + подарок,ультра 12 месяцев + подарок,392,395,395,1,546,412.782278,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AD93000C29D830FD11EDF56118F6B1C6,00000001110,Абонемент МУЛЬТИКАРТА 12 месяцев+2 лета в подарок,абонемент мультикарта 12 месяцев+2 лета в подарок,391,393,393,1,665,477.577608,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AC82A4BF01266AD411ECF6D998D2B3FC,00000000793,Абонемент УЛЬТРА 24 месяца,абонемент ультра 24 месяца,354,357,357,1,8023,740.350140,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AF9A000C29D830FD11EF7A78EEE69185,00000001452,"АБОНЕМЕНТ лимфодренажная тренировка (10 посещений),1 мес.","абонемент лимфодренажная тренировка (10 посещений),1 мес.",35,55,55,1,30,29.472727,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AFC6000C29D830FD11EF98257AD3CBC0,00000001479,"Абонемент УЛЬТРА 12 месяцев (Ровио,3)","абонемент ультра 12 месяцев (ровио,3)",34,34,34,2,8763,843.705882,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
B1B2000C29D830FD11F109745F404A62,00000001714,Абонемент МУЛЬТИКАРТА 12 месяцев + подарок (СПЕЦПРЕДЛОЖЕНИЕ),абонемент мультикарта 12 месяцев + подарок (спецпредложение),338,347,347,1,457,361.965417,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AE53000C29D830FD11EE83B9E96410DE,00000001233,"Холодные 9 900,00 МУЛЬТИКАРТА 12 месяцев","холодные 9 900,00 мультикарта 12 месяцев",33,33,33,247,543,371.333333,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AA9BA4BF01266AD311E8AABCC0ED0D93,00000000055,Абонемент в солярий на 50 минут,абонемент в солярий на 50 минут,323,479,479,1,325,29.774530,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
B069000C29D830FD11F0152ECB3799C8,00000001592,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),абонемент ультра 12 месяцев (акция 3 мес. в подарок),304,305,305,2,8944,460.511475,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AE53000C29D830FD11EE83B9F6FF81EB,00000001234,"Холодные 9 900,00 УЛЬТРА 12 месяцев","холодные 9 900,00 ультра 12 месяцев",30,30,30,2,424,314.966666,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AFDF000C29D830FD11EFABF3C8720575,00000001494,"Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ(Промышленная,10)","абонемент мультикарта 12 месяцев спецпредложение(промышленная,10)",3,3,3,2,364,179.000000,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
B069000C29D830FD11F0152EE144CBEF,00000001593,Абонемент МУЛЬТИКАРТА+6 месяцев в подарок,абонемент мультикарта+6 месяцев в подарок,3,3,3,545,551,548.000000,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AFA0000C29D830FD11EF7CC3BB16B910,00000001455,АБОНЕМЕНТ САЙКЛ 8 пос без клубной карты,абонемент сайкл 8 пос без клубной карты,3,3,3,43,365,257.666666,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
B20C000C29D830FD11F14B7D841F6EB2,00000001740,Абонемент УЛЬТРА 15 месяцев (рассрочка),абонемент ультра 15 месяцев (рассрочка),3,3,3,457,457,457.000000,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
