client_ref,client_id,subscription_ref,candidate_for_funnel,rank_number,auto_rank_reason,manual_override_applied,selection_status,selection_reason,candidate_count
AA9BA4BF01266AD311E8AACDADBAC0A4,000004404,AAABA4BF01266AD311E938F8E6A56D16,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,3
AA9BA4BF01266AD311E8AACDADBAC0A4,000004404,AAABA4BF01266AD311E938F8E6A56D17,reactivation,3,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,3
AA9BA4BF01266AD311E8AACDADBAC0A6,000004406,A37FE1479A8B7240477971FA6208DF2F,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0AC,000004412,AAABA4BF01266AD311E938F8E6A56D19,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,2
AA9BA4BF01266AD311E8AACDADBAC0AC,000004412,AAABA4BF01266AD311E938F8E6A56D1A,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,2
AA9BA4BF01266AD311E8AACDADBAC0B6,000004422,B5F9A2F1CF51A46B49691FF1545516EB,active,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0B6,000004422,9851515A53D6C4884542BA29DB994E0D,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,3
AA9BA4BF01266AD311E8AACDADBAC0B6,000004422,9DF0C80B77F402C94455065825040439,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,3
AA9BA4BF01266AD311E8AACDADBAC0B6,000004422,AAABA4BF01266AD311E938F8E6A56D1E,reactivation,3,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,3
AA9BA4BF01266AD311E8AACDADBAC0BC,000004428,875D03968D6753164ED900B6409692E6,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0BD,000004429,ADD859780007A4FE4465762A2C36CE29,active,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,3
AA9BA4BF01266AD311E8AACDADBAC0BD,000004429,863863229527FECA46726C24B4DA6BD7,active,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,3
AA9BA4BF01266AD311E8AACDADBAC0BD,000004429,B1664EADF735B3BC4CF48B75CCAE7269,active,3,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,3
AA9BA4BF01266AD311E8AACDADBAC0BD,000004429,9297F740AC3D88844EB1577BDD2CDCD8,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0BD,000004429,B13AD5675A80AE234D4A7DD2B0FB6BFC,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0BD,000004429,A384D8B4A23E1C0D437BB1AFA4D10EBB,reactivation,3,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0BD,000004429,B85AE714ACA398B147EE94F2C7C716AA,reactivation,4,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0BD,000004429,ABF0A4BF01266AD411EC0F0595290DBB,reactivation,5,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0BD,000004429,A62ABEE11F325BFC41964CC613739AAF,reactivation,6,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0BD,000004429,AAABA4BF01266AD311E938F8E6A56D20,reactivation,7,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0BD,000004429,AAABA4BF01266AD311E938F8E6A56D21,reactivation,8,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0C5,000004437,AAABA4BF01266AD311E938F8E6A56D24,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,2
AA9BA4BF01266AD311E8AACDADBAC0C5,000004437,AAABA4BF01266AD311E938F8E6A56D25,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,2
AA9BA4BF01266AD311E8AACDADBAC0C6,000004438,AAABA4BF01266AD311E938F8E6A56D26,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0C7,000004439,A11158B461C983CA4B7608B461A606C5,active,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0C7,000004439,820C9122F0FD73994D12B4CCC12072BA,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,3
AA9BA4BF01266AD311E8AACDADBAC0C7,000004439,AAABA4BF01266AD311E938F8E6A56D27,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,3
AA9BA4BF01266AD311E8AACDADBAC0C7,000004439,AAABA4BF01266AD311E938F8E6A56D28,reactivation,3,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,3
AA9BA4BF01266AD311E8AACDADBAC0C8,000004440,9B75EA575D4EFBEE441B9801E7C04301,active,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0C8,000004440,9F499EF81D4426BA49B0962498C07740,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0C8,000004440,8B38BC3861522F354691156E176E36DB,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0C8,000004440,88DFF0E32F3F6AEB440886C44AE714FA,reactivation,3,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0C8,000004440,8FCD020ABF3AFE0C4102098C70044011,reactivation,4,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0C8,000004440,B0B25F383E0D0B024251EB1C4E93895D,reactivation,5,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0C8,000004440,AABAA4BF01266AD311E9ACC824D45F29,reactivation,6,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0C8,000004440,AAABA4BF01266AD311E938F5C055BC1D,reactivation,7,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0C8,000004440,AAABA4BF01266AD311E938F8E6A56D2A,reactivation,8,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0C9,000004441,9D76F085D38F87064F4E45ACD4AE9521,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0CB,000004443,AAABA4BF01266AD311E938F8E6A56D2B,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0CC,000004444,AAABA4BF01266AD311E938F8E6A56D2D,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,2
AA9BA4BF01266AD311E8AACDADBAC0CC,000004444,AAABA4BF01266AD311E938F8E6A56D2C,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,2
AA9BA4BF01266AD311E8AACDADBAC0CE,000004446,AAABA4BF01266AD311E938F8E6A56D2E,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,2
AA9BA4BF01266AD311E8AACDADBAC0CE,000004446,AAABA4BF01266AD311E938F8E6A56D2F,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,2
AA9BA4BF01266AD311E8AACDADBAC0D1,000004449,AAABA4BF01266AD311E938F8E6A56D30,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,2
AA9BA4BF01266AD311E8AACDADBAC0D1,000004449,AAABA4BF01266AD311E938F8E6A56D31,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,2
AA9BA4BF01266AD311E8AACDADBAC0D4,000004452,BD47022BEEABBF4D43E91FB3DD9CB271,active,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0D4,000004452,95CB5DB6EA70D7AE4439E5B4CA04BC71,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,7
AA9BA4BF01266AD311E8AACDADBAC0D4,000004452,AC91ADCDC086E6514E82F323D228BC03,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,7
AA9BA4BF01266AD311E8AACDADBAC0D4,000004452,ACF0FF48565AD1DB4A4D64AD00C0BB49,reactivation,3,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,7
AA9BA4BF01266AD311E8AACDADBAC0D4,000004452,8926A119111966AB4CA5453BB91EB582,reactivation,4,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,7
AA9BA4BF01266AD311E8AACDADBAC0D4,000004452,AAABA4BF01266AD311E938F8E6A56D32,reactivation,5,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,7
